ID user,Gender,Faculty,Major,Dormitory,Activity,Social
10020,ชาย,อักษรศาสตร์,ประวัติศาสตร์,RS แมนชั่น,"เล่นเกม,อ่านหนังสือ,เล่นโซเชียล,ดูหนัง,ทำการบ้าน",สามารถอยู่ร่วมกับเมทได้
10021,ชาย,มัณทณศิลป์,ออกแบบผลิตภัณฑ์,smallville,"เล่นเกม,เล่นดนตรี,เล่นโซเชียล,สร้างงานศิลปะ,ทำการบ้าน,นอนเล่น",ชอบอยู่คนเดียว
10022,หญิง,วิทยาศาตร์,เทคโนโลยีสารสนเทศ,Smart place​,"เล่นโซเชียล,ทำความสะอาดห้อง,ทำการบ้าน",ชอบอยู่คนเดียว
10023,หญิง,อักษรศาสตร์,ประวัติศาสตร์,Smart place​,"อ่านหนังสือ,สร้างงานศิลปะ,ดูหนัง,ทำการบ้าน",ชอบอยู่คนเดียว
10024,หญิง,วิศวะกรรมศาสตร์,วิศวกรรมกระบวนการชีวภาพ,The loft condo,"เล่นเกม,เล่นโซเชียล,ดูหนัง",ชอบอยู่คนเดียว
10025,หญิง,วิทยาศาตร์,Computer Science,The martrix condo,"เล่นเกม,อ่านหนังสือ,เล่นดนตรี,ออกกำลังกาย,ทำความสะอาดห้อง",ชอบอยู่คนเดียว
10026,ชาย,วิทยาศาตร์,เทคโนโลยีสารสนเทศ,The martrix condo,"เล่นเกม,เล่นดนตรี,ทำความสะอาดห้อง,ดูหนัง,นอนเล่น",สามารถอยู่ร่วมกับเมทได้
10027,ชาย,วิทยาศาตร์,จุลชีววิทยา,The martrix condo,"อ่านหนังสือ,ออกกำลังกาย,เล่นโซเชียล,ทำอาหาร,ทำความสะอาดห้อง,ดูหนัง,นอนเล่น",สามารถอยู่ร่วมกับเมทได้
10028,หญิง,วิทยาศาตร์,จุลชีววิทยา,The martrix condo,"เล่นโซเชียล,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน,นอนเล่น",ชอบอยู่คนเดียว
10029,หญิง,วิทยาศาตร์,จุลชีววิทยา,The martrix condo,"เล่นเกม,อ่านหนังสือ,ออกกำลังกาย,เล่นโซเชียล,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน,นอนเล่น",สามารถอยู่ร่วมกับเมทได้
10030,ชาย,วิทยาศาตร์,วิทยาศาสตร์สิ่งแวดล้อม,The martrix condo,"เล่นเกม,เล่นโซเชียล,ดูหนัง",สามารถอยู่ร่วมกับเมทได้
10031,ชาย,มัณทณศิลป์,ออกแบบผลิตภัณฑ์,The martrix condo,"เล่นเกม,อ่านหนังสือ,เล่นดนตรี,เลี้ยงสัตว์,สวดมนต์นั่งสมาธิ,ออกกำลังกาย,เล่นโซเชียล,สร้างงานศิลปะ,ทำอาหาร,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน,นอนเล่น",ชอบอยู่คนเดียว
10032,ชาย,เภสัชศาสตร์,-,The trust Condo ,"เล่นเกม,อ่านหนังสือ,เล่นโซเชียล,ดูหนัง,ทำการบ้าน,นอน",ชอบอยู่คนเดียว
10033,หญิง,อักษรศาสตร์,ภาษาอังกฤษ,The trust Condo ,"เลี้ยงสัตว์,ดูหนัง,นอนเล่น",ชอบออกไปเที่ยวอยู่ไม่ติดหอ
10034,หญิง,วิทยาศาตร์,เทคโนโลยีสารสนเทศ,The ville resident,"อ่านหนังสือ,ออกกำลังกาย,สร้างงานศิลปะ,ทำความสะอาดห้อง,ดูหนัง",ชอบออกไปเที่ยวอยู่ไม่ติดหอ
10035,ชาย,วิทยาศาตร์,เทคโนโลยีสารสนเทศ,เจอาร์,เล่นเกม,ชอบอยู่คนเดียว
10036,ชาย,วิทยาศาตร์,เทคโนโลยีสารสนเทศ,เจอาร์,เล่นเกม,ชอบอยู่คนเดียว
10037,หญิง,วิทยาศาตร์,ชีววิทยา,เดอะพฤกษ์,"เล่นเกม,อ่านหนังสือ,เล่นดนตรี,เล่นโซเชียล,ทำอาหาร,ทำความสะอาดห้อง,ดูหนัง",ชอบอยู่คนเดียว
10038,ชาย,วิทยาศาตร์,Computer Science,เบญจรงค์,"เล่นเกม,เลี้ยงสัตว์",ชอบออกไปเที่ยวอยู่ไม่ติดหอ
10039,ชาย,วิทยาศาตร์,เทคโนโลยีสารสนเทศ,เบญจรงค์,"เล่นเกม,อ่านหนังสือ,เล่นโซเชียล,ทำอาหาร,ทำความสะอาดห้อง,ดูหนัง",สามารถอยู่ร่วมกับเมทได้
10040,ชาย,วิศวะกรรมศาสตร์,ธุรกิจวิศวกรรม,เบญจรงค์,"เล่นเกม,เล่นโซเชียล,ทำอาหาร,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน,นอนเล่น",ชอบอยู่คนเดียว
10041,ชาย,วิศวะกรรมศาสตร์,ธุรกิจวิศวกรรม,เบญจรงค์,"เล่นเกม,เล่นโซเชียล,ทำอาหาร,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน,นอนเล่น",ชอบอยู่คนเดียว
10042,หญิง,เภสัชศาสตร์,-,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,ดูหนัง,คุยกับแฟน",ชอบออกไปเที่ยวอยู่ไม่ติดหอ
10043,หญิง,วิทยาศาตร์,Computer Science,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,เล่นโซเชียล,ทำอาหาร,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน,นอนเล่น",สามารถอยู่ร่วมกับเมทได้
10044,หญิง,วิทยาศาตร์,Computer Science,เพชรรัตน์ ,"อ่านหนังสือ,เล่นโซเชียล,ทำความสะอาดห้อง,ทำการบ้าน",สามารถอยู่ร่วมกับเมทได้
10045,หญิง,วิทยาศาตร์,Computer Science,เพชรรัตน์ ,"อ่านหนังสือ,ออกกำลังกาย,เล่นโซเชียล,ทำความสะอาดห้อง,ทำการบ้าน",ชอบอยู่คนเดียว
10046,หญิง,วิทยาศาตร์,Computer Science,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,ออกกำลังกาย,เล่นโซเชียล,ดูหนัง,ทำการบ้าน",สามารถอยู่ร่วมกับเมทได้
10047,หญิง,วิทยาศาตร์,Computer Science,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,ทำความสะอาดห้อง",สามารถอยู่ร่วมกับเมทได้
10048,หญิง,วิทยาศาตร์,Computer Science,เพชรรัตน์ ,"เล่นเกม,ดูหนัง,ทำการบ้าน",สามารถอยู่ร่วมกับเมทได้
10049,หญิง,วิทยาศาตร์,Computer Science,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,เล่นโซเชียล,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน",สามารถอยู่ร่วมกับเมทได้
10050,หญิง,วิทยาศาตร์,Computer Science,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,เล่นโซเชียล,ทำความสะอาดห้อง",สามารถอยู่ร่วมกับเมทได้
10051,หญิง,วิทยาศาตร์,Computer Science,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,เล่นโซเชียล,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน",สามารถอยู่ร่วมกับเมทได้
10052,หญิง,วิทยาศาตร์,Computer Science,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,ออกกำลังกาย,เล่นโซเชียล,ทำอาหาร,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน",สามารถอยู่ร่วมกับเมทได้
10053,หญิง,วิทยาศาตร์,Computer Science,เพชรรัตน์ ,"อ่านหนังสือ,เล่นโซเชียล,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน,นอนเล่น",สามารถอยู่ร่วมกับเมทได้
10054,หญิง,วิทยาศาตร์,เคมี,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,สวดมนต์นั่งสมาธิ,ออกกำลังกาย,เล่นโซเชียล,สร้างงานศิลปะ,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน",ชอบอยู่คนเดียว
10055,หญิง,วิศวะกรรมศาสตร์,เครื่องกล,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,ออกกำลังกาย,เล่นโซเชียล,ทำอาหาร,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน",ชอบอยู่คนเดียว
10056,หญิง,วิทยาศาตร์,เทคโนโลยีสารสนเทศ,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,ดูหนัง",สามารถอยู่ร่วมกับเมทได้
10057,หญิง,วิทยาศาตร์,เทคโนโลยีสารสนเทศ,เพชรรัตน์ ,"อ่านหนังสือ,สวดมนต์นั่งสมาธิ,เล่นโซเชียล,ทำความสะอาดห้อง,ดูหนัง",สามารถอยู่ร่วมกับเมทได้
10058,หญิง,วิทยาศาตร์,เทคโนโลยีสารสนเทศ,เพชรรัตน์ ,"เล่นโซเชียล,ทำอาหาร,ทำความสะอาดห้อง,ดูหนัง",สามารถอยู่ร่วมกับเมทได้
10059,หญิง,วิทยาศาตร์,เทคโนโลยีสารสนเทศ,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,เลี้ยงสัตว์,เล่นโซเชียล,ดูหนัง",สามารถอยู่ร่วมกับเมทได้
10060,หญิง,วิทยาศาตร์,เทคโนโลยีสารสนเทศ,เพชรรัตน์ ,นอนเล่น,สามารถอยู่ร่วมกับเมทได้
10061,หญิง,วิทยาศาตร์,เทคโนโลยีสารสนเทศ,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,สวดมนต์นั่งสมาธิ,ออกกำลังกาย,เล่นโซเชียล,ทำอาหาร,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน",สามารถอยู่ร่วมกับเมทได้
10062,หญิง,วิทยาศาตร์,เทคโนโลยีสารสนเทศ,เพชรรัตน์ ,"อ่านหนังสือ,เล่นโซเชียล,ดูหนัง,นอน",ชอบอยู่คนเดียว
10063,หญิง,วิทยาศาตร์,เทคโนโลยีสารสนเทศ,เพชรรัตน์ ,นอนเล่น,สามารถอยู่ร่วมกับเมทได้
10064,หญิง,วิศวะกรรมศาสตร์,เทคโนโลยีอาหาร,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,เล่นโซเชียล,ทำอาหาร,ทำความสะอาดห้อง,ดูหนัง",ชอบออกไปเที่ยวอยู่ไม่ติดหอ
10065,หญิง,วิศวะกรรมศาสตร์,เทคโนโลยีอาหาร,เพชรรัตน์ ,"อ่านหนังสือ,ออกกำลังกาย,เล่นโซเชียล,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน,นอนเล่น",ชอบอยู่คนเดียว
10066,หญิง,วิศวะกรรมศาสตร์,เทคโนโลยีอาหาร,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,ออกกำลังกาย,เล่นโซเชียล,สร้างงานศิลปะ,ทำอาหาร,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน",สามารถอยู่ร่วมกับเมทได้
10067,หญิง,วิศวะกรรมศาสตร์,เทคโนโลยีอาหาร,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,เล่นโซเชียล,สร้างงานศิลปะ,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน",สามารถอยู่ร่วมกับเมทได้
10068,หญิง,ศึกษาศาสตร์,การศึกษาตลอดชีวิต,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,เล่นโซเชียล,ทำอาหาร,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน,นอนเล่น",ชอบอยู่คนเดียว
10069,หญิง,วิทยาศาตร์,คณิตศาสตร์ประยุกต์,เพชรรัตน์ ,"เล่นเกม,ออกกำลังกาย,เล่นโซเชียล,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน",สามารถอยู่ร่วมกับเมทได้
10070,หญิง,ศึกษาศาสตร์,จิตวิทยา,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,เล่นโซเชียล,ดูหนัง,ทำการบ้าน",สามารถอยู่ร่วมกับเมทได้
10071,หญิง,ศึกษาศาสตร์,จีน,เพชรรัตน์ ,"อ่านหนังสือ,ออกกำลังกาย,เล่นโซเชียล,ทำความสะอาดห้อง",สามารถอยู่ร่วมกับเมทได้
10072,หญิง,วิทยาศาตร์,จุลชีววิทยา,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,ทำความสะอาดห้อง,ทำการบ้าน,นอนเล่น",สามารถอยู่ร่วมกับเมทได้
10073,หญิง,วิทยาศาตร์,จุลชีววิทยา,เพชรรัตน์ ,"อ่านหนังสือ,เล่นโซเชียล,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน",ชอบอยู่คนเดียว
10074,หญิง,วิทยาศาตร์,จุลชีววิทยา,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน",สามารถอยู่ร่วมกับเมทได้
10075,หญิง,วิทยาศาตร์,จุลชีววิทยา,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,เล่นโซเชียล,ทำความสะอาดห้อง,ทำการบ้าน",สามารถอยู่ร่วมกับเมทได้
10076,หญิง,วิทยาศาตร์,จุลชีววิทยา,เพชรรัตน์ ,"อ่านหนังสือ,ออกกำลังกาย,เล่นโซเชียล,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน",สามารถอยู่ร่วมกับเมทได้
10077,หญิง,วิทยาศาตร์,จุลชีววิทยา,เพชรรัตน์ ,"เล่นเกม,เล่นโซเชียล,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน",ชอบอยู่คนเดียว
10078,หญิง,วิทยาศาตร์,จุลชีววิทยา,เพชรรัตน์ ,"เล่นเกม,ดูหนัง",สามารถอยู่ร่วมกับเมทได้
10079,หญิง,วิทยาศาตร์,จุลชีววิทยา,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,เล่นโซเชียล,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน,นอนเล่น",สามารถอยู่ร่วมกับเมทได้
10080,หญิง,วิทยาศาตร์,ชีววิทยา,เพชรรัตน์ ,"อ่านหนังสือ,เล่นโซเชียล,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน",สามารถอยู่ร่วมกับเมทได้
10081,หญิง,วิทยาศาตร์,ชีววิทยา,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,เล่นโซเชียล,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน",สามารถอยู่ร่วมกับเมทได้
10082,หญิง,วิทยาศาตร์,ชีววิทยา,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,ออกกำลังกาย,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน,ปลูกต้นไม้",ชอบออกไปเที่ยวอยู่ไม่ติดหอ
10083,หญิง,วิทยาศาตร์,ชีววิทยา,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,เล่นโซเชียล,ทำการบ้าน",สามารถอยู่ร่วมกับเมทได้
10084,หญิง,วิทยาศาตร์,ชีววิทยา​,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,ออกกำลังกาย,เล่นโซเชียล,สร้างงานศิลปะ,ทำความสะอาดห้อง,ดูหนัง",สามารถอยู่ร่วมกับเมทได้
10085,หญิง,อักษรศาสตร์,ญี่ปุ่น,เพชรรัตน์ ,"อ่านหนังสือ,เล่นโซเชียล,ทำความสะอาดห้อง,ดูหนัง",สามารถอยู่ร่วมกับเมทได้
10086,หญิง,เภสัชศาสตร์,บริบาลเภสัชกรรม ,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,เล่นโซเชียล,ดูหนัง,นอนเล่น",สามารถอยู่ร่วมกับเมทได้
10087,หญิง,วิทยาศาตร์,ฟิสิกส์,เพชรรัตน์ ,"เล่นเกม,ออกกำลังกาย,เล่นโซเชียล,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน",ชอบอยู่คนเดียว
10088,หญิง,วิทยาศาตร์,ฟิสิกส์,เพชรรัตน์ ,"อ่านหนังสือ,เล่นโซเชียล,สร้างงานศิลปะ,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน",สามารถอยู่ร่วมกับเมทได้
10089,หญิง,อักษรศาสตร์,ภาษาเกาหลี,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,ออกกำลังกาย,เล่นโซเชียล,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน",ชอบออกไปเที่ยวอยู่ไม่ติดหอ
10090,หญิง,อักษรศาสตร์,ภาษาไทย,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,สร้างงานศิลปะ,ดูหนัง,ทำการบ้าน",สามารถอยู่ร่วมกับเมทได้
10091,หญิง,อักษรศาสตร์,ภาษาจีน,เพชรรัตน์ ,"เล่นโซเชียล,ดูหนัง",สามารถอยู่ร่วมกับเมทได้
10092,หญิง,อักษรศาสตร์,ภาษาอังกฤษ,เพชรรัตน์ ,"อ่านหนังสือ,ออกกำลังกาย,เล่นโซเชียล,ทำความสะอาดห้อง",สามารถอยู่ร่วมกับเมทได้
10093,หญิง,อักษรศาสตร์,ภูมิศาสตร์,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,เล่นโซเชียล,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน",สามารถอยู่ร่วมกับเมทได้
10094,หญิง,อักษรศาสตร์,ภูมิศาสตร์,เพชรรัตน์ ,"เล่นโซเชียล,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน",ชอบอยู่คนเดียว
10095,หญิง,อักษรศาสตร์,ภูมิศาสตร์,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,ออกกำลังกาย,เล่นโซเชียล,สร้างงานศิลปะ,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน,นอนเล่น",สามารถอยู่ร่วมกับเมทได้
10096,หญิง,วิศวะกรรมศาสตร์,วัสดุและนาโนเทคโนโลยี,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,เล่นดนตรี,ออกกำลังกาย,เล่นโซเชียล,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน",สามารถอยู่ร่วมกับเมทได้
10097,หญิง,วิทยาศาตร์,วิทยาศาสตร์สิ่งแวดล้อม,เพชรรัตน์ ,"อ่านหนังสือ,เล่นโซเชียล,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน",ชอบอยู่คนเดียว
10098,หญิง,วิศวะกรรมศาสตร์,วิศกรรมกระบวนการชีวภาพ,เพชรรัตน์ ,"เล่นเกม,เล่นโซเชียล,ดูหนัง,นอนเล่น",ชอบอยู่คนเดียว
10099,หญิง,วิศวะกรรมศาสตร์,วิศวกรรมกระบวนการชีวภาพ,เพชรรัตน์ ,"เล่นเกม,เล่นโซเชียล,ทำความสะอาดห้อง,ทำการบ้าน,นอน",สามารถอยู่ร่วมกับเมทได้
10100,หญิง,วิศวะกรรมศาสตร์,วิศวกรรมกระบวนการชีวภาพ,เพชรรัตน์ ,"เล่นเกม,เล่นโซเชียล,ดูหนัง,นอนเล่น",สามารถอยู่ร่วมกับเมทได้
10101,หญิง,วิศวะกรรมศาสตร์,วิศวกรรมกระบวนการชีวภาพ ,เพชรรัตน์ ,"เล่นโซเชียล,ดูหนัง,ฟังเพลง",สามารถอยู่ร่วมกับเมทได้
10102,หญิง,วิศวะกรรมศาสตร์,วิศวกรรมการจัดการและโลจิสติกส์,เพชรรัตน์ ,"เล่นเกม,เล่นโซเชียล,สร้างงานศิลปะ,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน",สามารถอยู่ร่วมกับเมทได้
10103,หญิง,วิศวะกรรมศาสตร์,วิศวกรรมการจัดการและโลจิสติกส์,เพชรรัตน์ ,"เล่นเกม,เล่นโซเชียล,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน,นอนเล่น",ชอบออกไปเที่ยวอยู่ไม่ติดหอ
10104,หญิง,อักษรศาสตร์,สารสนเทศศาสตร์และบรรณารักษศาสตร์,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,เล่นโซเชียล,ทำความสะอาดห้อง,ทำการบ้าน",สามารถอยู่ร่วมกับเมทได้
10105,หญิง,อักษรศาสตร์,อังกฤษ,เพชรรัตน์ ,"เล่นเกม,อ่านหนังสือ,เลี้ยงสัตว์,ออกกำลังกาย,เล่นโซเชียล,ทำอาหาร,ทำความสะอาดห้อง,ดูหนัง",สามารถอยู่ร่วมกับเมทได้
10106,ชาย,วิทยาศาตร์,Computer Science,เรือนขวัญ,"เล่นโซเชียล,ดูหนัง",ชอบอยู่คนเดียว
10107,หญิง,อักษรศาสตร์,ภาษาเกาหลี,เรือนปฐมบุรี,"เล่นโซเชียล,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน",สามารถอยู่ร่วมกับเมทได้
10108,ชาย,วิทยาศาตร์,Computer Science,เวศย์วรุตม์เพลส,"เล่นเกม,ออกกำลังกาย,ทำอาหาร,ดูหนัง",ชอบอยู่คนเดียว
10109,ชาย,อักษรศาสตร์,เกาหลี,เวศย์วรุตม์เพลส,"เล่นเกม,อ่านหนังสือ,เล่นโซเชียล,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน",สามารถอยู่ร่วมกับเมทได้
10110,หญิง,อักษรศาสตร์,เกาหลี,เวศย์วรุตม์เพลส,"เล่นเกม,อ่านหนังสือ,เล่นดนตรี,เล่นโซเชียล,ทำอาหาร,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน",ชอบออกไปเที่ยวอยู่ไม่ติดหอ
10111,ชาย,วิทยาศาตร์,เทคโนโลยีสารสนเทศ,เวศย์วรุตม์เพลส,"เล่นเกม,ออกกำลังกาย,ดูหนัง",ชอบอยู่คนเดียว
10112,ชาย,วิศวะกรรมศาสตร์,การจัดการและโลจิสติกส์,เวศย์วรุตม์เพลส,"เล่นเกม,ออกกำลังกาย,เล่นโซเชียล",ชอบอยู่คนเดียว
10113,หญิง,วิศวะกรรมศาสตร์,วัสดุและนาโนเทคโนโลยี,เวศย์วรุตม์เพลส,"เล่นเกม,อ่านหนังสือ,สวดมนต์นั่งสมาธิ,ออกกำลังกาย,เล่นโซเชียล,ทำอาหาร,ทำความสะอาดห้อง,ดูหนัง,ทำการบ้าน,นอนเล่น",ชอบออกไปเที่ยวอยู่ไม่ติดหอ
10114,หญิง,จิตรกรรม,-,โครงการหมู่บ้านพฤกษาพรรณ กระดีเดียว1,"ออกกำลังกาย,สร้างงานศิลปะ,ทำความสะอาดห้อง,ดูหนัง,นอนเล่น",ชอบออกไปเที่ยวอยู่ไม่ติดหอ
10115,หญิง,มัณทณศิลป์,ออกแบบเครื่องแต่งกาย,ไดพักทิวาลัย,"เล่นโซเชียล,ดูหนัง,นอนเล่น",ชอบออกไปเที่ยวอยู่ไม่ติดหอ
10116,หญิง,วิทยาศาตร์,Computer Science,กนกวรรณ,"อ่านหนังสือ,เล่นโซเชียล,ทำความสะอาดห้อง,ดูหนัง",ชอบออกไปเที่ยวอยู่ไม่ติดหอ
